ts	src	dst	type	ser	irt	seq	expected	data
0	6001	6002	CON	1	0	0	0	x'02000000e265bac521802f00010000000000000000000000000000000000000000000000000000000000000000'
0	6002	6001	CON	1	0	0	0	x'020000007b62bac521802f00010000000000000000000000000000000000000000000000000000000000000000'
0	6001	6002	ANS	2	1	0	0	x'020000000c67bac521802f000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000'
31	6002	6001	DAT	2	2	0	0	x'4ae16728c849ac4c2d32626062606000000000ffff'
62	6001	6002	DAT	3	2	0	1	x'4a936728c849ac4c2d32646064606060026208df8841ebe433a64c6eb0d07f2000000000ffff'
78	6002	6001	DAT	3	3	1	1	x'5450cb6edb3010e4c2f1c7f440809249913a35cb875a03b11dd441ef4cc5024264c9a01527bee5bf7ae87f053944546da0be90bbc399d91d3e7d901b7838ed03816d18f0e89bd63fb661d5d70702d379030562e57286d42991d12cb39a6aa51d75c64821ac2a45b9203300c9b174a8f3ff78985519adf26b9e43c659a51c554222e5a22868a96449995d483ece11bab4895738c49cb305cd252aca650854735b51c132e99828dc58249e36d2668c15e343a929e7bf03458b15b58b0c65952b6bb81a797358fbdd98f3127ffef4052ed9b1aeef2798c0bf7bb31f9abe4be9570ed7e347bdfdb1b01d7c1cb6fb7e2009f80a187727d3b77d4c3db93d4b4deb3b0204d6df2698c043f0bbb3e247f0f589cc08685faffc3e55a639366d334a6697d9d76b022eef433cf49d6f9be1948c378f87108f21de358761d9d5e17532ff0bdf9f77c906c0ba9f097a37b079e9425c5a02f9c5fc6adfbbf38695ff95e24ee82d98feb91be238eaa58f6d4de6f34f000000ffff'
109	6001	6002	ACK	4	3	1	2	x''
984	6002	6001	DAT	4	0	2	1	x'cab206860356b74142cf3920d429352f392337b1289b01e8c7e2d21c70105d7162cde406ba9881e13f1000000000ffff'
1000	6001	6002	DAT	5	4	1	3	x'94544b6edb301025616bdf23f4048993348bac6a45765203fec18e53749532121d33e647a0287fbaf2517a8f2eda43f4003d47579d216539098aa2d182331c6a3e6fe691cb45b349af99e23d3d3724a8039315a419d1d17dc1ed8a5bbfc18351ee84d1b0a51d51a4466b9ea2a1c32176eb94d08b16a1c98233577435bb973c23d4d992133a4d8d05a10da113bee24c266225a460108b7ee2b0c4529af5215f83d25b913a63b784665c19cba4f8c2301724a85cc105d614c272cd15fc78231437a583686784ceb4657a8915f8f8379ca969ced6e03f171b340fd98ac9ee26871a10932f00edef88873acd39eeb4b18a4900b06008c08b9976427600e582d02bf3309a7f64168ad8e4124082cf4869e1bb4028d6db673afb4b9e73286ad09fc0a1518442e32e4b21b34129c1ede4e8bc6ae4d3bd51cae8d822d4d17c0e9df4be039657fbb87406711658b6e60174dfa44b4225ac9834ee4d381021e58a6b57b90dcda42c1661b49569c074c9e44c0b57e166127b9072cdac30574282e958b1bc382e5295dfb5ce2e6ae5aea8fe3a9225c3310897608527ad16601c5b7e0f301d9a8b2a59d5d3ea3fc824606011f5d31af00d726fecb95bb30fa8bb7bdfa4836e3c44f55b874e1db36e9a1b47fc19c52e2506e6817bd2ae0224920142407cedcda14195c784b36c4b1a300696614b1b07a2a1'
1031	6001	6002	DAT	6	0	2	3	x'1e020c811884d6372bee8d81ac460339dd1603ef09dc1785ebe90c8ac7e0dfe9875261184a3bdd5b34fd4ee868adb9ed75a031fbe0cfeaed57155e317fc3bcb50d1428b5c33bb1365666248a9ecc3c7465bf90f65e6bd7da2e68114da429783695c605b7afed06be123f82f8150489bd7813c4db205a41b4831807f139883c881d0828ec669b73727858a2e539bc1ac1988c67975ca70bc52c50b356f159d9b716be9f9751f47842f74e586d5c14e241fb2b563f44ff4b02d8bf82042f260247ff26c3e92bc870e0c0816acfc75cd3a5a6c18bc11fd8738a374506c8a41d3d26afee728da0eaf91f000000ffff'
1031	6002	6001	ACK	5	5	3	2	x''
1062	6002	6001	ACK	6	6	3	3	x''
2984	6002	6001	KPA	7	0	3	3	x''
3000	6001	6002	ACK	7	7	3	3	x''
3031	6001	6002	KPA	8	0	3	3	x''
3062	6002	6001	ACK	8	8	3	3	x''
4984	6002	6001	KPA	9	0	3	3	x''
5000	6001	6002	ACK	9	9	3	3	x''
5031	6001	6002	KPA	10	0	3	3	x''
5062	6002	6001	ACK	10	10	3	3	x''
6984	6002	6001	KPA	11	0	3	3	x''
7000	6001	6002	ACK	11	11	3	3	x''
7031	6001	6002	KPA	12	0	3	3	x''
7062	6002	6001	ACK	12	12	3	3	x''
8984	6002	6001	KPA	13	0	3	3	x''
9000	6001	6002	ACK	13	13	3	3	x''
9031	6001	6002	KPA	14	0	3	3	x''
9062	6002	6001	ACK	14	14	3	3	x''
10984	6002	6001	KPA	15	0	3	3	x''
11015	6001	6002	ACK	15	15	3	3	x''
11031	6001	6002	KPA	16	0	3	3	x''
11062	6002	6001	ACK	16	16	3	3	x''
12984	6002	6001	KPA	17	0	3	3	x''
13015	6001	6002	ACK	17	17	3	3	x''
13031	6001	6002	KPA	18	0	3	3	x''
13062	6002	6001	ACK	18	18	3	3	x''
14984	6002	6001	KPA	19	0	3	3	x''
15015	6001	6002	ACK	19	19	3	3	x''
15031	6001	6002	KPA	20	0	3	3	x''
15062	6002	6001	ACK	20	20	3	3	x''
16984	6002	6001	KPA	21	0	3	3	x''
17015	6001	6002	ACK	21	21	3	3	x''
17031	6001	6002	KPA	22	0	3	3	x''
